time,sum,num of triangles,matrix
0.040051,14520,2420,belgium_osm.mtx
0.044413,14520,2420,belgium_osm.mtx
0.041690,14520,2420,belgium_osm.mtx
127.352343,18338316,3056386,com-Youtube.mtx
126.405650,18338316,3056386,com-Youtube.mtx
129.782923,18338316,3056386,com-Youtube.mtx
0.588503,10059912,1676652,dblp-2010.mtx
0.603499,10059912,1676652,dblp-2010.mtx
0.562011,10059912,1676652,dblp-2010.mtx
96.286350,0,0,mycielskian13.mtx
94.139309,0,0,mycielskian13.mtx
94.118148,0,0,mycielskian13.mtx
0.650434,12453810,2075635,NACA0015.mtx
0.649297,12453810,2075635,NACA0015.mtx
0.648845,12453810,2075635,NACA0015.mtx
